#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2017-06-19 00:14:44
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2017-06-19 00:14:44 101.200.190.54 GET / - 8008 - 42.156.251.185 spiderman - 302 0 0 2370
2017-06-19 00:26:33 101.200.190.54 GET / - 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 - 200 0 0 1372
2017-06-19 00:26:33 101.200.190.54 GET /sys/ashx/ConfigHandler.ashx action=js 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/ 200 0 0 338
2017-06-19 00:26:35 101.200.190.54 GET /ashx/MenuData.ashx - 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/ 200 0 0 1063
2017-06-19 00:26:36 101.200.190.54 GET /Welcome.aspx - 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/ 200 0 0 73
2017-06-19 00:26:36 101.200.190.54 GET /sys/ashx/ConfigHandler.ashx action=js 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 297
2017-06-19 00:26:36 101.200.190.54 GET /BlueVacation/View/News/crud.js - 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 404 0 2 272
2017-06-19 00:26:36 101.200.190.54 GET /BlueVacation/View/LanEmail/inbox/crud.js - 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 404 0 2 299
2017-06-19 00:26:36 101.200.190.54 GET /BlueVacation/View/News/crud.js - 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 404 0 2 170
2017-06-19 00:26:38 101.200.190.54 GET /BlueVacation/View/LanEmail/inbox/crud.js - 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 404 0 2 291
2017-06-19 00:26:40 101.200.190.54 GET /BlueVacation/Controller/LanEmailHandler.ashx op=inboxlist&top=6 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 143
2017-06-19 00:26:40 101.200.190.54 GET /BlueVacation/Controller/NewsHandler.ashx op=list&type=1&top=6 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 641
2017-06-19 00:26:41 101.200.190.54 GET /BlueVacation/Controller/LanEmailHandler.ashx op=sendlist&top=6 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 36
2017-06-19 00:26:41 101.200.190.54 GET /BlueVacation/Controller/NewsHandler.ashx op=list&type=2&top=6 8008 - 60.23.128.118 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:53.0)+Gecko/20100101+Firefox/53.0 http://www.lansejiari.net:8008/Welcome.aspx 200 0 0 40
#Software: Microsoft Internet Information Services 8.0
#Version: 1.0
#Date: 2017-06-19 01:17:02
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2017-06-19 01:17:02 101.200.190.54 GET / - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 - 302 0 0 2916
2017-06-19 01:17:04 101.200.190.54 GET /login.html - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 - 200 0 0 51
2017-06-19 01:17:09 101.200.190.54 GET /Scripts/jquery-1.8.3.min.js - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 563
2017-06-19 01:17:09 101.200.190.54 GET /Scripts/jQgrid/default/jquery-ui-1.8.4.custom.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 210
2017-06-19 01:17:09 101.200.190.54 GET /scripts/qqmsg/msgbox.css - 8008 - 114.248.38.224 Mozilla/5.0+(Windows+NT+5.1;+rv:51.0)+Gecko/20100101+Firefox/51.0 http://www.lansejiari.net:8008/login.html 200 0 0 254
